"","Country","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","Latest Year","CO2.emissions..latest.year","X..change.since.1990","CO2.emissions..per.capita...latest.year"
"12","Bahamas",1894.2,NA,NA,NA,1866.2,NA,NA,NA,NA,NA,660.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,660.44,-65.13,2.22
"13","Bahrain",NA,NA,NA,NA,16483,NA,NA,NA,NA,NA,18170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,18170,NA,27.34
"14","Bangladesh",NA,NA,NA,NA,16459.73,NA,NA,NA,NA,NA,NA,33148.52,NA,NA,NA,40862.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,40862.34,NA,0.29
"15","Barbados",1564.22,NA,NA,NA,1913.38,NA,NA,2198.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1997,2198.32,40.54,8.2
"16","Belarus",103689.71,96647.13,88662.01,76380.05,62367.89,57375.45,58214.8,58720.59,57372.47,54984.5,54877.36,54967.87,55077.7,56484.95,60076.47,61367.1,64157.16,63569.93,65694.82,61402.7,63156.39,62106.74,63008.35,63743.45,63083.64,58633.06,60284.85,60742.93,61871.68,2018,61871.68,-40.33,6.55
"17","Belgium",120309.34,123382.08,122507.84,121444.2,124816.9,125956.47,129496.58,124001.76,130227.11,124718.9,126735.3,126084.68,126878.58,128275.26,128805.29,125661.69,123905.76,120496.16,120202.86,107743.37,114561.03,105046.06,102428.75,102674.4,96811.32,100981.34,99806.94,99456.28,100207.84,2018,100207.84,-16.71,8.73
"18","Belize",NA,NA,NA,NA,598.07,NA,NA,NA,NA,NA,NA,NA,NA,3.93,NA,NA,4.71,NA,NA,5.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,5.93,NA,0.02
"19","Benin",NA,NA,NA,NA,NA,802.34,NA,NA,NA,NA,1416.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,1416.38,NA,0.21
"20","Bhutan",NA,NA,NA,NA,228.46,NA,NA,NA,NA,NA,498.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,498.07,NA,0.84
"21","Bolivia",5386.19,NA,NA,NA,8146.25,NA,NA,NA,8930.9,NA,7782.84,NA,9073.28,NA,9786.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004,9786.04,81.69,1.08
"22","Bosnia and Herzegovina",26461.07,23850.3,5933.32,2208.48,2426.14,2140.56,4429.62,7022.49,10776.92,10968,11633.23,12239.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19418,21712,NA,NA,NA,NA,2014,21712,-17.95,6.24
"23","Botswana",NA,NA,NA,NA,3014.5,NA,NA,NA,NA,NA,3979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7435.22,NA,NA,NA,2015,7435.22,NA,3.51
"24","Brazil",213555,224675,226821,235656,245012,263283,282440,299443,310259,320522,331466,338212,337959,333001,349853,356897,361457,380822,402090,381380,429844,450956,482697,511858,532094,504747,NA,NA,NA,2015,504747,136.35,2.47
"25","Brunei Darussalam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5882.59,NA,NA,NA,NA,NA,NA,NA,NA,2010,5882.59,NA,15.14
"26","Bulgaria",76698.98,61232.6,57010.43,57675.64,56083.53,57716.37,58108.02,55861.27,53275.22,46369.98,45305.03,49014.14,46258.57,50509.67,49570.73,50656.43,51895.22,55740.84,54079.56,45773.77,47862.93,53178.04,48349.01,42649.51,45169.33,48194.28,45353.72,47505.16,43551.6,2018,43551.6,-43.22,6.18
